user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,tenure_days,total_sessions,unique_titles_watched,total_watch_minutes,avg_watch_duration,avg_progress,pct_completed,download_sessions,first_watch_date,last_watch_date,active_watch_days,avg_imdb_watched,unique_genres,pct_originals,sessions_per_active_day,watch_span_days,sessions_per_month,watch_minutes_per_month,days_since_last_watch,review_count,avg_review_rating,avg_sentiment,pct_positive_reviews,last_review_date,last_positive_review_date,days_since_last_review,days_since_last_positive_review,rec_count,rec_click_rate,avg_rec_score,last_rec_date,days_since_last_rec,last_rec_click_date,days_since_last_rec_click,search_count,search_click_rate,avg_click_position,avg_search_duration,first_search_date,last_search_date,active_search_days,search_span_days,days_since_last_search,searches_per_month,searches_per_active_day,last_search_click_date,days_since_last_search_click,has_watch_history,has_reviews,has_recs,has_searches
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242,1005,12,12,734.7,61.225,64.51666666666667,0.5,4,2024-02-05,2025-10-30,12,7.0,9,0.4166666666666667,1.0,634,0.5678233438485805,34.76498422712934,62,1.0,4.0,0.792,1.0,2024-01-09,2024-01-09,722.0,722.0,3.0,0.0,0.315,2025-04-26,249.0,,9999.0,1.0,1.0,7.0,27.5,2024-12-29,2024-12-29,1.0,1.0,367.0,30.0,1.0,2024-12-29,367.0,1,1,1,1
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515,447,15,15,764.6,50.973333333333336,56.62,0.3333333333333333,4,2024-02-29,2025-11-28,14,5.673333333333333,11,0.5333333333333333,1.0714285714285714,639,0.704225352112676,35.89671361502347,33,4.0,3.5,0.5375,0.5,2025-09-12,2025-07-14,110.0,170.0,0.0,0.0,0.0,,9999.0,,9999.0,3.0,0.0,0.0,18.099999999999998,2024-01-28,2025-12-08,3.0,681.0,23.0,0.13215859030837004,1.0,,9999.0,1,1,0,1
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,Standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875,550,8,8,594.2,74.275,43.4375,0.375,2,2024-04-25,2025-06-24,8,6.9875,6,0.375,1.0,426,0.5633802816901409,41.845070422535215,190,1.0,4.0,0.887,1.0,2024-04-17,2024-04-17,623.0,623.0,6.0,0.3333333333333333,0.6408333333333334,2025-04-13,262.0,2025-04-13,262.0,0.0,0.0,0.0,0.0,,,0.0,,9999.0,0.0,0.0,,9999.0,1,1,1,0
user_00004,mitchellclark@example.com,Chelsea,Ferguson,36.26964112512124,Male,USA,Ohio,South Noah,Standard,2024-08-21,True,28.56,Laptop,2.0,2023-04-11 01:01:59.614841,995,14,13,1197.9,85.56428571428572,38.76428571428572,0.2857142857142857,3,2024-02-17,2025-12-29,14,5.307142857142857,10,0.35714285714285715,1.0,682,0.6158357771260997,52.693548387096776,2,3.0,2.6666666666666665,0.47606748082041644,0.3333333333333333,2025-03-12,2024-08-22,294.0,496.0,4.0,0.0,0.589,2025-08-10,143.0,,9999.0,2.0,0.0,0.0,26.549999999999997,2024-11-20,2025-12-29,2.0,405.0,2.0,0.14814814814814814,1.0,,9999.0,1,1,1,1
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806,263,9,9,563.0,62.55555555555556,54.44444444444444,0.2222222222222222,2,2024-01-25,2025-09-19,9,6.166666666666667,9,0.2222222222222222,1.0,604,0.4470198675496689,27.9635761589404,103,3.0,3.3333333333333335,0.5026666666666667,0.3333333333333333,2025-09-26,2024-06-20,96.0,559.0,1.0,0.0,0.473,2024-04-02,638.0,,9999.0,1.0,1.0,10.0,37.7,2025-09-29,2025-09-29,1.0,1.0,93.0,30.0,1.0,2025-09-29,93.0,1,1,1,1
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,True,15.046033322652995,Gaming Console,2.0,2024-03-04 19:57:36.106319,667,11,11,479.2,43.56363636363636,62.01818181818182,0.2727272727272727,4,2024-02-25,2025-11-30,11,7.004545454545454,10,0.36363636363636365,1.0,645,0.5116279069767442,22.288372093023256,31,1.0,3.0,0.506,0.0,2025-01-30,,335.0,9999.0,7.0,0.0,0.5621428571428572,2025-12-12,19.0,,9999.0,1.0,0.0,0.0,17.4,2024-06-11,2024-06-11,1.0,1.0,568.0,30.0,1.0,,9999.0,1,1,1,1
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,Unknown,USA,Maryland,Teresaburgh,Premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712,324,12,12,713.4,59.449999999999996,39.791666666666664,0.16666666666666666,3,2024-08-07,2025-12-30,12,6.429166666666667,10,0.3333333333333333,1.0,511,0.7045009784735812,41.8825831702544,1,3.0,4.0,0.7026666666666667,0.6666666666666666,2024-10-17,2024-10-17,440.0,440.0,2.0,0.0,0.6095,2024-12-17,379.0,,9999.0,2.0,0.0,0.0,10.65,2024-04-17,2024-08-06,2.0,112.0,512.0,0.5357142857142857,1.0,,9999.0,1,1,1,1
user_00008,nathanielmartin@example.net,Carol,Smith,35.71295215869311,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,True,6.69,Tablet,1.0,2025-01-13 04:53:02.134116,352,11,11,512.3,46.57272727272727,38.79090909090909,0.18181818181818182,1,2024-02-05,2025-11-27,11,6.090909090909091,9,0.36363636363636365,1.0,662,0.4984894259818731,23.216012084592144,34,0.0,0.0,0.0,0.0,,,9999.0,9999.0,3.0,0.0,0.741,2024-11-24,402.0,,9999.0,2.0,0.5,3.0,15.4,2024-04-04,2024-08-04,2.0,123.0,514.0,0.48780487804878053,1.0,2024-08-04,514.0,1,0,1,1
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721,1114,7,7,439.2,62.74285714285714,47.614285714285714,0.0,0,2024-03-22,2025-11-23,7,6.171428571428572,6,0.2857142857142857,1.0,612,0.3431372549019608,21.529411764705884,38,0.0,0.0,0.0,0.0,,,9999.0,9999.0,5.0,0.0,0.4396,2024-10-23,434.0,,9999.0,2.0,0.5,3.0,39.1,2024-10-14,2024-12-08,2.0,56.0,388.0,1.0714285714285714,1.0,2024-10-14,443.0,1,0,1,1
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799,656,8,8,498.7,62.3375,55.7,0.125,2,2024-03-09,2025-11-18,8,5.95625,8,0.25,1.0,620,0.3870967741935484,24.13064516129032,43,2.0,2.5,0.5015000000000001,0.5,2025-03-25,2025-03-25,281.0,281.0,5.0,0.0,0.6112,2025-05-10,235.0,,9999.0,3.0,0.0,0.0,15.699999999999998,2024-06-04,2025-12-04,3.0,549.0,27.0,0.16393442622950818,1.0,,9999.0,1,1,1,1
